customer_tweet_id,customer_text,reply_text,created_at
2789083,bravo les mecs. J'ai ma livraison prime en point relais parce que le livreur a pas sonné. À quoi ça sert de proposer un service payant si vous êtes pas capable de le réaliser?,"Bonsoir, je suis désolé d'apprendre cela. Avez-vous contacté notre service client afin de remonter l'information au service concerné ^ME",Tue Nov 21 19:39:27 +0000 2017
2469471,Jajajajajajaja era una broma pero muchas gracias 😂👌🏻👌🏻,"Vale Berges 😂, igualmente estamos para ayudarte en caso de que tengas alguna consulta. ¡Saludos! ^FZ",Wed Nov 15 10:21:27 +0000 2017
210328,WHERE IS MY PACKAGE,"Hey, we'd like to help out! Most deliveries are made until 8 PM. What does the tracking say here: https://t.co/Y5jpI9gRhE? ^WJ",Wed Oct 04 18:52:32 +0000 2017
2805067,Do you guys see this? It's 8:40 btw. Rep says delivery stopped at 8PM. #HowSway https://t.co/citMeHV6zQ,Thanks for keeping us updated. Please let us know if you continue to have delivery trouble in the future. ^LI,Wed Nov 22 02:53:54 +0000 2017
2402448,Done yesterday! No reply yet? Shall I expect same service here too?,"If you've shared your details in the link provided earlier by ^PJ, you should've received an email from our team here: https://t.co/NTkrxpsbHJ please check. ^KA",Wed Nov 15 08:43:29 +0000 2017
2773034,Unable to apply hdfc instant 1500 discount on amazon.in after it applied on first order but cancelled.,"If you weren't able to avail the instant discount, you may still go ahead and complete the transaction or try purchasing again, Amit. You'd then receive a cash back of Rs. 1500. Please refer to this page for more information: https://t.co/echUdqV9QD ^JC",Tue Nov 21 14:21:00 +0000 2017
1031879,will the new fire tv with 4k support work in India for Amazon prime and Netflix if bought from the USA?,"You might want to check with our Fire TV support team here: https://t.co/vMxZIAf2qu for details on this, Apurva. ^JC",Mon Oct 23 05:08:51 +0000 2017
1020916,tengo un error a la hora de registrar pueden ayudarme...,"Hola, Shelomo. Por favor contáctanos a través del siguiente enlace: https://t.co/nVlEtq7hsw. ^JQ",Sun Oct 22 22:57:10 +0000 2017
575983,. Com I suppose. I was using Amazon application in my android.,What was the delivery date we gave at the checkout and in the confirmation email?^SM,Sun Dec 03 08:52:02 +0000 2017
181155,why are your german department blocking honest users?,"Can you tell us, what happened? ^UK",Fri Aug 25 04:37:36 +0000 2017
427300,what is up with your delivery service? Drivers suddenly ignoring my safe place instruction - after 2 yrs of #prime membership! 😡,Apologies - We would like to escalate this with the carrier. Please reach out : https://t.co/JzP7hlA23B ^TP,Tue Oct 10 13:13:27 +0000 2017
230948,なんでーーーあまぞんぬちゃんなんでーーーー なんで昨日注文した商品の配達予定が17日から31日なのなんでなんでーーーーーーー,アマゾンです。お届け予定日は商品の発送元や、在庫状況、お支払方法など様々な情報を元に計算されております。https://t.co/qwo84RClom ET,Thu Oct 05 09:59:27 +0000 2017
1467714,welcome to Amazon https://t.co/B3KMd1Ae2d,I would like one of our team members to look into this for you. Please fill out this form: https://t.co/tkLCr7DNil ^BA,Fri Nov 03 00:55:56 +0000 2017
2896000,your order dates are really messed up right now. https://t.co/Pvi8Ir0SpS,"I'm sorry to see there's a problem with your delivery! Have you been able to contact the carrier for additional insight? If so, what information was provided? ^CS",Tue Nov 28 16:26:31 +0000 2017
969378,You services are getting worst day by day. Customer care is helpless. Courier boys are not supportive at all. Frustrating,"I'm sorry to see you upset, write to us here: https://t.co/GIJyeYqKE0 &amp; we'll be glad to help you. ^MJ",Sat Oct 14 05:32:00 +0000 2017
567575,none of the issue options seem to fit my problem,"You can just choose the options closest to yours to be routed to the correct team. So, select Devices &gt; Fire TV Stick &gt; I am having problems streaming videos. Then, choose phone or chat. 😊 ^AM",Sun Dec 03 02:39:30 +0000 2017
248705,What Service Standard Not able to deliver the product even after 12 days and refund the amount as a favour !! Pathetic !,That's rather strange. Please report this to our support team here: https://t.co/vlvfJr4nN9 ^JC,Thu Oct 05 16:31:00 +0000 2017
